open_time,open,high,low,close,volume
1717206660000,67523.0,67532.5,67522.2,67532.5,0.16231064
1717206720000,67533.1,67533.1,67526.3,67526.6,0.08621873
1717206780000,67526.6,67549.9,67526.6,67549.9,0.44267696
1717206840000,67549.8,67551.9,67549.8,67551.8,0.04499733
1717206900000,67551.9,67551.9,67548.2,67550.8,0.18132699
1717206960000,67551.4,67554.4,67551.4,67554.3,0.10755993
1717207020000,67554.3,67562.3,67539.1,67539.1,1.523787
1717207080000,67539.0,67563.1,67525.3,67563.1,0.74665498
1717207140000,67559.7,67560.8,67554.0,67557.9,0.41900521
1717207200000,67557.9,67583.2,67542.3,67583.2,1.24717409
1717207260000,67583.9,67589.8,67583.8,67589.8,0.17044366
1717207320000,67589.9,67600.0,67580.1,67597.8,1.01956055
1717207380000,67597.8,67601.0,67591.0,67591.0,0.12315207
1717207440000,67592.5,67599.4,67590.8,67599.4,1.5663228
1717207500000,67599.4,67605.8,67599.4,67605.8,0.3196658
1717207560000,67605.8,67657.9,67605.8,67657.9,5.09730384
1717207620000,67657.8,67714.1,67650.9,67661.7,9.76645423
1717207680000,67661.6,67661.6,67641.0,67642.6,0.36756369
1717207740000,67645.0,67670.2,67641.7,67657.2,2.53598088
1717207800000,67657.3,67660.4,67652.2,67652.2,0.25010391
1717207860000,67652.3,67652.3,67645.8,67645.8,0.17938548
1717207920000,67645.8,67645.9,67634.5,67634.5,0.12535575
1717207980000,67634.6,67636.2,67634.5,67636.1,0.05121684
1717208040000,67636.1,67636.2,67636.1,67636.1,0.11476204
1717208100000,67636.2,67636.2,67609.1,67610.6,0.99393178
1717208160000,67610.5,67632.7,67604.9,67628.1,1.07223476
1717208220000,67628.1,67663.4,67627.2,67644.1,2.46200771
1717208280000,67642.7,67642.7,67635.1,67635.1,0.05350226
1717208340000,67635.1,67640.6,67635.1,67640.6,0.22115317
1717208400000,67640.6,67656.0,67640.5,67652.1,0.88206293
1717208460000,67654.1,67657.5,67654.1,67655.7,0.3097191
1717208520000,67655.7,67659.1,67655.6,67655.7,0.67631896
1717208580000,67655.7,67655.8,67638.1,67638.1,1.80397361
1717208640000,67638.2,67638.2,67636.1,67636.2,0.34525643
1717208700000,67636.2,67655.7,67636.2,67655.6,0.55084474
1717208760000,67653.9,67660.6,67649.5,67660.5,1.25559331
1717208820000,67660.6,67660.6,67660.5,67660.6,0.07954822
1717208880000,67660.6,67660.6,67649.5,67649.6,0.74685189
1717208940000,67649.6,67665.0,67649.6,67665.0,1.01488064
1717209000000,67664.9,67672.1,67663.4,67672.1,0.5657951
1717209060000,67672.1,67697.2,67672.1,67697.2,0.5040309
1717209120000,67697.2,67722.2,67697.2,67722.2,1.33250083
1717209180000,67722.5,67740.0,67697.1,67697.2,2.03570068
1717209240000,67697.2,67697.2,67671.1,67671.2,0.93955263
1717209300000,67671.1,67678.4,67666.0,67673.0,1.13030369
1717209360000,67673.1,67678.4,67668.0,67668.0,0.40933463
1717209420000,67667.9,67678.2,67665.9,67665.9,0.13759314
1717209480000,67670.9,67671.4,67665.9,67665.9,0.14225292
1717209540000,67665.9,67666.6,67665.9,67666.6,0.22918493
1717209600000,67666.6,67675.9,67666.6,67673.0,0.25263251
1717209660000,67672.9,67672.9,67666.1,67666.7,0.29616995
1717209720000,67669.3,67689.0,67669.3,67689.0,0.62436837
1717209780000,67690.0,67704.9,67678.0,67678.0,0.64568951
1717209840000,67678.0,67687.4,67678.0,67687.4,0.30233719
1717209900000,67687.3,67691.2,67684.8,67691.2,0.04615034
1717209960000,67691.2,67698.0,67684.6,67684.6,0.26447824
1717210020000,67684.5,67684.5,67680.9,67681.0,0.07768504
1717210080000,67681.0,67703.1,67681.0,67703.1,0.35177346
1717210140000,67703.0,67703.1,67696.4,67703.0,0.28429895
1717210200000,67703.0,67716.6,67703.0,67716.6,0.26568849
1717210260000,67716.6,67718.9,67713.5,67717.8,1.47415099
1717210320000,67717.8,67724.1,67717.7,67724.1,0.23178145
1717210380000,67724.0,67724.1,67700.5,67700.6,0.4429543
1717210440000,67700.6,67704.8,67700.0,67704.8,0.33556777
1717210500000,67704.8,67704.9,67703.8,67704.8,0.08059563
1717210560000,67704.8,67724.2,67704.8,67724.2,0.28621104
1717210620000,67724.1,67726.5,67720.1,67726.4,0.22291005
1717210680000,67726.5,67728.6,67724.3,67725.7,0.37138548
1717210740000,67725.8,67725.8,67725.7,67725.7,0.03383436
1717210800000,67725.8,67725.8,67704.0,67704.0,2.42274466
1717210860000,67704.0,67712.0,67704.0,67712.0,0.28638841
1717210920000,67715.0,67733.8,67715.0,67733.7,1.18221967
1717210980000,67733.8,67735.4,67725.3,67725.3,0.30968736
1717211040000,67725.3,67725.3,67719.4,67719.9,0.64682221
1717211100000,67719.9,67728.6,67719.9,67728.6,0.14023793
1717211160000,67727.7,67729.3,67727.7,67729.2,0.75191182
1717211220000,67729.2,67740.0,67729.2,67740.0,1.91045919
